,0,1,2
0,20.049334078763543,6.399119683211539,1.4125487843247226
1,19.51460377433464,5.6474982233727715,1.5650680643325983
2,20.67813208471255,6.266160297899043,1.4864262118673068
3,21.7752116165163,5.813936328066496,1.3817303202970705
4,21.556572123294522,5.803185227546296,1.5023405282025186
5,22.253898242653133,6.727430989599455,1.467508577500268
6,22.74822345410533,5.213537407071244,1.4275570416720256
7,22.781350644885805,6.656801944673154,1.577658627508542
8,24.248382419133897,5.468768654676519,1.3802834751910031
9,24.560373307888856,6.058030079485745,1.456096703770108
0,0.4216207071667471,0.14296572176546862,0.0710166962228538
1,0.4707126240859533,0.12934469088293055,0.08280328236018325
2,0.5167236777961167,0.15449172243785192,0.0789466941593642
3,0.5301866673982654,0.13367509359580476,0.0592835685925028
4,0.5596515112917719,0.15642636886474992,0.07377166677887793
5,0.623658909039244,0.17515739487613563,0.07518709397501913
6,0.6120154767443097,0.12706341122672934,0.06575931763689485
7,0.6011420552856851,0.16911899099347402,0.09192026001935209
8,0.6508691715664041,0.14388044771944855,0.06933474429761458
9,0.6046177954616005,0.1570381361965521,0.07086648069165596
