,0,1,2
0,0.0026352824657932023,0.003402371793391758,0.026186373915743598
1,0.0014185949785765182,0.0013332712901391248,0.0008746030819180461
2,0.0027838494733474473,0.001671133472104347,0.008769893332270136
3,0.0033312344211567525,0.002742644143163452,0.015104269948447374
4,0.0035485159039677153,0.003422610974701045,0.024361312824906334
5,0.0037767554345213435,0.0024242696239243533,0.0011065138367766611
6,0.0033113676809719073,0.00229296392946739,0.01579212050784337
7,0.0050128740078937035,0.0031098918152419547,0.001688902738698628
8,0.0034353055509194247,0.002115857018871194,0.0007968399399397003
9,0.003455289177669748,0.002073434091808039,0.0014013487468304607
0,0.0026352824657932023,0.003402371793391758,0.026186373915743598
1,0.003281399902076095,0.0022410845306320556,0.0013938021913318624
2,0.002594187691777613,0.002001533433362141,0.009191133356990362
3,0.002671599201326114,0.0020894097965635633,0.02082335834922399
4,0.0035485159039677153,0.003422610974701045,0.024361312824906334
5,0.0034739712458171606,0.002246568658620472,0.0010731564632360387
6,0.0038264839196987116,0.004710387650543442,0.041335441668374724
7,0.0050128740078937035,0.0031098918152419547,0.001688902738698628
8,0.003128896521934725,0.0019128341170300454,0.000722126316386695
9,0.004016154026274919,0.002523978846391523,0.0016184933926173958
0,0.0029028428678064566,0.0032661299414956002,0.021213893360530412
1,0.003648531792674868,0.002056907391027786,0.0013376315506820266
2,0.004903655780727553,0.0029318200754148917,0.009352460487763526
3,0.0034687717969001546,0.0028700395793447167,0.023958324803574252
4,0.0035485159039677153,0.003422610974701045,0.024361312824906334
5,0.0034739712458171606,0.002246568658620472,0.0010731564632360387
6,0.0036109975698985592,0.0047298709094574926,0.038699230715968994
7,0.005341121018507092,0.0031645659060970475,0.0017090811899663316
8,0.0024272744077519833,0.0017762437704765854,0.0007057957384254685
9,0.002683878197550048,0.002402625568548945,0.001424524688277232
0,0.0028927626318153753,0.0035953554550287544,0.02516826246829877
1,0.003739385318842993,0.002036276488844756,0.0013144317928440563
2,0.004903655780727553,0.0029318200754148917,0.009352460487763526
3,0.0027719293490493487,0.002367390680068622,0.021001451888678812
4,0.0035485159039677153,0.003422610974701045,0.024361312824906334
5,0.0037733177489553647,0.0022174834990997495,0.0009880682066176667
6,0.0031663042283783796,0.004171715529885236,0.03371823569788177
7,0.0019972826863825094,0.0013112737450373894,0.0007879761474880669
8,0.0019651469231064126,0.0015841531953333947,0.0006993618328760502
9,0.0028313246176057626,0.0025002737483103767,0.0014958968619651937
0,0.0029520748303233034,0.003318673733460856,0.023183639173134617
1,0.003739385318842993,0.002036276488844756,0.0013144317928440563
2,0.004903655780727553,0.0029318200754148917,0.009352460487763526
3,0.003055325860080751,0.002489201270607907,0.02283914062657893
4,0.0035485159039677153,0.003422610974701045,0.024361312824906334
5,0.0037733177489553647,0.0022174834990997495,0.0009880682066176667
6,0.003648453215718125,0.004745502550497341,0.03737422393882154
7,0.0022596043468237265,0.001308605439695271,0.0008117551010624498
8,0.0015774416082113512,0.0013252224399584157,0.0006195461061055201
9,0.0030720494948100357,0.003018674623083581,0.0018133015607693227
0,0.003280774583305041,0.0032605621345768243,0.024856362447275453
1,0.0036309921418218407,0.002353199320763955,0.0015024423159411711
2,0.004903655780727553,0.0029318200754148917,0.009352460487763526
3,0.003055325860080751,0.002489201270607907,0.02283914062657893
4,0.0035485159039677153,0.003422610974701045,0.024361312824906334
5,0.0038330409800659106,0.002210874688687212,0.001019025286222181
6,0.003059209998709323,0.0028045216705993165,0.02648051983943395
7,0.0017477370215396393,0.0012443318351440065,0.0007973273433344319
8,0.002500655981102105,0.0017541705964478833,0.0006982347281043893
9,0.0026375539377204295,0.002949983737513998,0.0018296178171649203
0,0.003280774583305041,0.0032605621345768243,0.024856362447275453
1,0.0036309921418218407,0.002353199320763955,0.0015024423159411711
2,0.004530365255535171,0.0027131412627814837,0.008266162822892227
